Order_ID,Order_Date,Customer_ID,Customer_Name,Gender,Age,City,Region,Product_Category,Product_Name,Quantity,Unit_Price,Discount,Sales,Cost,Profit,Payment_Mode
ORD100001,01-01-2023,CUST1008,Rajesh Singh,Male,29,Kochi,South,Electronics,Smartwatch,4,3360,0.05,12768,8803.12,3964.88,UPI
ORD100002,01-01-2023,CUST1119,Karan Pillai,Male,43,Bhubaneswar,East,Home & Kitchen,Non-stick Pan,2,860,0.2,1376,1205.43,170.57,UPI
ORD100003,01-01-2023,CUST1052,Suresh Verma,Male,27,Kolkata,East,Clothing,Men's T-Shirt,3,527,0.05,1501.95,1096.63,405.32,UPI
ORD100004,02-01-2023,CUST1312,Sneha Kumar,Female,44,Mumbai,West,Electronics,Laptop Stand,1,1340,0.15,1139,1020.04,118.96,Cash on Delivery
ORD100005,03-01-2023,CUST1188,Rohit Reddy,Male,25,Chennai,South,Clothing,Formal Shirt,1,1150,0.1,1035,854.66,180.34,Debit Card
ORD100006,03-01-2023,CUST1345,Amit Joshi,Male,37,Hyderabad,South,Office Supplies,Ballpoint Pen Set,3,154,0,462,278.94,183.06,UPI
ORD100007,09-01-2023,CUST1316,Arjun Patel,Male,42,Pune,West,Electronics,Webcam,1,1890,0,1890,1206.27,683.73,UPI
ORD100008,10-01-2023,CUST1141,Divya Malhotra,Female,49,Coimbatore,South,Home & Kitchen,LED Table Lamp,3,710,0.1,1917,1546.24,370.76,Net Banking
ORD100009,11-01-2023,CUST1172,Suresh Reddy,Male,34,Coimbatore,South,Office Supplies,Ballpoint Pen Set,1,146,0.2,116.8,105.58,11.22,Debit Card
ORD100010,11-01-2023,CUST1157,Kavita Pillai,Female,40,Chennai,South,Clothing,Denim Jeans,3,1580,0.1,4266,3004.16,1261.84,Credit Card
ORD100011,13-01-2023,CUST1092,Shalini Iyer,Female,27,Jaipur,North,Electronics,Laptop Stand,4,1390,0,5560,3864.1,1695.9,Net Banking
ORD100012,16-01-2023,CUST1224,Neha Malhotra,Female,29,Guwahati,East,Office Supplies,Ballpoint Pen Set,1,156,0.15,132.6,111,21.6,Credit Card
ORD100013,16-01-2023,CUST1098,Priya Singh,Female,35,Chennai,South,Electronics,Power Bank,2,1290,0.1,2322,1579.79,742.21,Net Banking
ORD100014,17-01-2023,CUST1022,Neha Iyer,Female,35,Lucknow,North,Home & Kitchen,Storage Containers Set,1,590,0.05,560.5,427.32,133.18,Debit Card
ORD100015,19-01-2023,CUST1228,Rekha Chatterjee,Female,27,Kolkata,East,Clothing,Formal Shirt,2,1050,0,2100,1529.87,570.13,UPI
ORD100016,20-01-2023,CUST1289,Amit Rao,Male,28,Kolkata,East,Office Supplies,Desk Organizer,5,740,0,3700,2360.07,1339.93,UPI
ORD100017,20-01-2023,CUST1275,Rajesh Iyer,Male,40,Chandigarh,North,Electronics,Bluetooth Speaker,1,1960,0.1,1764,1517.1,246.9,UPI
ORD100018,20-01-2023,CUST1240,Nisha Kumar,Female,26,Bengaluru,South,Clothing,Men's T-Shirt,4,530,0,2120,1625.59,494.41,Cash on Delivery
ORD100019,22-01-2023,CUST1177,Anil Verma,Male,50,Pune,West,Beauty & Personal Care,Trimmer,1,1350,0.15,1147.5,1025.32,122.18,UPI
ORD100020,27-01-2023,CUST1102,Shweta Reddy,Female,31,Chennai,South,Beauty & Personal Care,Shampoo,3,338,0,1014,638.27,375.73,Net Banking
ORD100021,30-01-2023,CUST1174,Ashok Iyer,Male,38,Hyderabad,South,Clothing,Winter Jacket,2,3110,0.15,5287,4056.06,1230.94,UPI
ORD100022,31-01-2023,CUST1320,Nisha Singh,Female,36,Hyderabad,South,Electronics,Power Bank,4,1240,0.05,4712,3267.76,1444.24,Cash on Delivery
ORD100023,02-02-2023,CUST1337,Swati Kumar,Female,31,Bengaluru,South,Electronics,Smartwatch,1,3630,0,3630,2706.62,923.38,Credit Card
ORD100024,04-02-2023,CUST1115,Sanjay Rao,Male,38,Ahmedabad,West,Electronics,Bluetooth Speaker,1,2110,0.15,1793.5,1468.44,325.06,Net Banking
